id,created_at,lignes,colonnes,couleur_depart,joueur_courant,statut,resultat,confiance,coups,coups_sym,coups_can
1,2026-02-04 00:45:10.397953,9,9,1,1,in_progress,,1,3131313,7979797,3131313
2822,2026-02-17 00:47:24.808168,9,9,1,2,finished,jaune,2,64655171983234144524877352,46455939127876966586233758,46455939127876966586233758
3,2026-02-04 01:17:57.046516,9,9,1,1,in_progress,,1,1212,9898,1212
2827,2026-02-17 00:47:25.552700,9,9,1,2,finished,jaune,2,557286639689771476421988466798913875,553824471421339634689122644312197235,553824471421339634689122644312197235
5,2026-02-04 11:37:14.085280,9,9,1,1,in_progress,,1,1234567,9876543,1234567
7,2026-02-04 13:18:12.936337,9,9,1,2,finished,jaune,1,46767676,64343434,46767676
8,2026-02-04 13:18:37.088137,9,9,1,1,in_progress,,1,54,56,54
10,2026-02-04 16:02:26.238409,9,9,1,1,in_progress,,1,2139465,8971645,2139465
11,2026-02-04 16:05:07.977521,9,9,1,1,in_progress,,1,5169748,5941362,5169748
12,2026-02-16 23:32:44.728507,9,9,1,1,finished,rouge,1,57376462836821486,53734648274289624,53734648274289624
13,2026-02-16 23:32:44.832632,9,9,1,1,finished,rouge,1,596951145824745,514159965286365,514159965286365
14,2026-02-16 23:32:44.885392,9,9,1,1,finished,rouge,1,58229771717997143839982641536,52881339393113967271128469574,52881339393113967271128469574
15,2026-02-16 23:32:44.934800,9,9,1,1,finished,rouge,1,5462498982657,5648612128453,5462498982657
16,2026-02-16 23:32:45.104993,9,9,1,1,finished,rouge,1,983521625985134432442584762674969,127589485125976678668526348436141,127589485125976678668526348436141
17,2026-02-16 23:32:45.158735,9,9,1,1,finished,rouge,1,877541454823154,233569656287956,233569656287956
18,2026-02-16 23:32:45.213082,9,9,1,1,finished,rouge,1,6799227988211449259635833788514,4311883122899661851475277322596,4311883122899661851475277322596
19,2026-02-16 23:32:45.270528,9,9,1,1,finished,rouge,1,8745111248339459884871293,2365999862771651226239817,2365999862771651226239817
20,2026-02-16 23:32:45.326085,9,9,1,1,finished,rouge,1,18919165676949843244543223816,92191945434161267866567887294,18919165676949843244543223816
21,2026-02-16 23:32:45.381674,9,9,1,1,finished,rouge,1,559479888183533834356,551631222927577276754,551631222927577276754
22,2026-02-16 23:32:45.432114,9,9,1,1,finished,rouge,1,18153193581955476784347734982,92957917529155634326763376128,18153193581955476784347734982
23,2026-02-16 23:32:45.484764,9,9,1,1,finished,rouge,1,7994628779635,3116482331475,3116482331475
24,2026-02-16 23:32:45.539652,9,9,1,1,finished,rouge,1,8618731839162888639979819754348745775164273892195,2492379271948222471131291356762365335946837218915,2492379271948222471131291356762365335946837218915
25,2026-02-16 23:32:45.716930,9,9,1,1,finished,rouge,1,364759952,746351158,364759952
26,2026-02-16 23:32:45.780627,9,9,1,1,finished,rouge,1,422295691398511791479145719,688815419712599319631965391,422295691398511791479145719
27,2026-02-16 23:32:45.835649,9,9,1,1,finished,rouge,1,96632246144255399411651111442837915,14478864966855711699459999668273195,14478864966855711699459999668273195
28,2026-02-16 23:32:45.894458,9,9,1,1,finished,rouge,1,4262297634482485978164799127564919412,6848813476628625132946311983546191698,4262297634482485978164799127564919412
29,2026-02-16 23:32:45.945240,9,9,1,2,finished,jaune,1,32535969178856389871159967,78575141932254721239951143,32535969178856389871159967
